"","date","SiteID","Salinity_Final","TA_Raw","Salinity_lab_Silbiger","pH_insitu","TempInSitu"
"1",20190909,"113",35.13,2284.707,34.22,8.04650999207802,27.2
"2",20190909,"114",35.16,2249.76,34.24,8.04316737186988,27.2
"3",20190909,"115",25.16,2253.67,34.18,8.04134984705854,27.2
"4",20190909,"116",35.14,2257.16,34.22,8.02467922262073,27.3
"5",20190909,"117",35.16,2257.835,34.29,8.02466030683286,27.2
"6",20190909,"118",35.14,2262.202,34.22,8.03787839754796,27.1
"7",20190909,"119",35,2256.859,34.2,8.0412226533331,27.1
"8",20190909,"120",35.16,2248.14,34.26,7.99602401870523,27.3
"9",20190909,"121",35.22,2259.245,34.21,8.03140947661336,27.3
"10",20190909,"122",35.16,2262.126,34.31,8.04498782663442,27.2
"11",20190909,"123",35.23,2260.712,34.19,8.03644233120574,27.3
"12",20190909,"124",35.2,2255.054,34.3,8.03313251902068,27.2
"13",20190909,"125",NA,2266.371,34.32,8.0413135534687,27
"14",20190909,"126",36.07,2256.741,34.32,7.99260132102812,27.2
"15",20190909,"127",35.27,2283.859,34.23,7.9940967417483,27.2
"16",20190909,"128",35.26,2263.092,34.24,8.02759549868152,27
"17",20190909,"129",35.21,2252.448,34.24,8.03926506471748,26.9
"18",20190909,"130",35.65,2227.882,34.31,8.00960026270297,27.3
"19",20190909,"131",35.06,2251.951,34.17,8.015948987555,27.2
"20",20190909,"132",35.15,2243.167,34.26,7.95703880827402,27.2
"21",20190909,"133",35.26,2256.581,34.28,7.98408887822684,27.2
"22",20190909,"135",35.02,2276.267,34.29,8.01621818729292,27.2
"23",20190909,"136",35.17,2261.567,34.22,8.00254616491434,27.2
"24",20190909,"144",35.18,2248.201,34.29,8.00775551016814,27.2
"25",20190909,"146",NA,2257.231,34.2,8.02801151849979,27.3
"26",20190909,"147",35.2,2255.621,34.3,8.03636206416097,27.1
"27",20190909,"148",35.12,2256.672,34.24,7.95851322880014,27.1
"28",20190909,"149",35.08,2261.7,34.23,7.80378372693653,27.1
"29",20190909,"150",35.14,2267.092,34.31,7.92998823463359,27.1
"30",20190909,"151",35.14,2244.587,34.22,7.9603241956265,27.2
"31",20190909,"152",35.14,2249.015,34.31,7.96573780582164,27.3
"32",20190909,"153",35.13,2262.071,34.31,7.97907193797345,27.2
"33",20190909,"154",35.17,2241.861,34.3,7.97583940595957,27.3
"34",20190909,"155",35.09,2251.144,34.26,7.9602324546695,27.1
"35",20190909,"156",35.22,2255.756,34.23,7.98379913596795,27.1
"36",20190909,"159",35.3,2272.023,34.45,7.92289967997896,27.7
"37",20190909,"160",35.16,2256.944,34.3,7.96336854017549,26.9
"38",20190909,"164",35,2287.312,34.26,7.89457369753971,26.2
"39",20190909,"165",35.02,2398.834,34.36,7.90049445373182,27.5
"40",20190909,"168",34.5,2182.598,34.29,7.92489347633176,27.1
"41",20190909,"169",35.13,2173.745,34.21,7.93635488058372,27
"42",20190909,"170",36.16,2220.921,34.35,7.93967123726705,26.8
"43",20190909,"171",NA,2246.282,34.21,7.93652561497779,27.1
"44",20190909,"172",35.16,2240.074,34.28,7.91609360730299,26.9
"45",20190909,"173",35.23,2232.072,34.2,7.95202088396317,27.3
"46",20190909,"174",34.95,2367.65,34.48,7.8902456262537,28.2
"47",20190909,"180",32.6,2412.798,31.04,7.88717519496897,27.4
"48",20190909,"181",35.49,2954.155,33.73,7.82441861808173,28.7
"49",20190909,"235",36.05,2954.155,34.3,7.88077202914442,26.9
"50",20190910,"106",NA,2290.244,34.31,7.97182769497308,26.9
"51",20190910,"107",34.89,2279.754,34.25,8.01595445237188,27.1
"52",20190910,"108",35.08,2269.175,34.19,8.00094222567394,27.3
"53",20190910,"109",35.13,2283.147,34.31,8.04313652573322,27.1
"54",20190910,"110",35.12,2284.894,34.21,8.04140858097908,27.2
"55",20190910,"111",34.89,2279.891,34.31,7.99579411511188,27.1
"56",20190910,"112",35.1,2281.551,34.29,8.01957070801375,27.2
"57",20190910,"138",35.14,2284.199,34.3,8.04326228515912,27.2
"58",20190910,"139",34.94,2280.627,34.24,8.04467169210873,27.1
"59",20190910,"157",35.22,2280.286,34.3,7.9824262643222,27.2
"60",20190910,"158",35.21,2277.428,34.31,7.96152217989083,26.8
"61",20190910,"161",35.25,2294.458,34.36,7.91997567254104,27.1
"62",20190910,"163",34.96,2342.901,34.06,7.91573928279215,26
"63",20190910,"166",36.12,2328.048,34.24,7.98245781842374,27.3
"64",20190910,"167",35.44,2353.007,34.52,7.91949914426998,27.6
"65",20190910,"216",34.45,2276.756,33.98,7.94331253608175,27.4
"66",20190910,"228",33.56,2297.179,32.95,7.84278848614052,26.9
"67",20190910,"234",35.22,2339.045,33.88,7.98766960554491,26.8
"68",20190910,"236",36.19,2284.082,34.34,8.00013477137356,26.6
"69",20190910,"237",32.48,2342.904,32.08,7.83993046694856,26.3
"70",20190910,"238",35.95,2311.66,34.24,7.89025067227115,25.7
"71",20190910,"239",36.13,2313.421,34.26,7.91731867595537,25.7
"72",20190910,"240",33.39,2399.304,32.61,7.87856663585529,26.8
"73",20190910,"241",31.04,2273.439,30.54,7.7827277263317,26
"74",20190910,"242",36.01,2315.619,34.26,7.86573185566101,26.1
"75",20190910,"243",34.89,2291.263,34.23,7.82626034376358,26.6
"76",20190910,"244",34.85,2258.736,34.26,7.99938548185485,27.3
"77",20190910,"245",34.74,2264.551,34.22,7.96201054614804,27.2
"78",20190910,"246",35.66,2262.549,34.26,8.02151970461741,27.4
"79",20190910,"108A",35.56,2268.665,34.16,8.0336275698439,27.7
"80",20191006,"247",36.18,2288.897,34.09,7.80962570525035,26.1
"81",20191006,"251",36.13,2279.314,34.12,7.89588396974538,26.4
"82",20191006,"252",34.85,2269.155,34.05,7.93205949828428,27.1
"83",20191006,"253",33.24,2350.968,32.55,7.82144074037983,26.3
"84",20191006,"254",36.16,2288.628,34.02,7.91442661285306,26.6
"85",20191006,"255",36.14,2281.137,34.2,7.8556858995735,25.7
"86",20191006,"256",34.79,2322.393,34.09,7.82993284510921,26.4
"87",20191006,"257",34.75,2284.87,34.14,7.86032699676459,26.8
"88",20191006,"258",35.68,2332.585,33.72,8.05210708207376,26.9
"89",20191006,"259",34.86,2297.732,34.17,7.98554342007066,26.7
"90",20191006,"260",34.72,2262.736,34.14,7.86818486450447,27.5
"91",20191006,"261",34.92,2337.053,34.26,7.93120343789294,27.1
"92",20191006,"262",35.01,2384.701,33.54,7.85579715432717,27.3
"93",20191006,"263",21.87,3322.505,21.02,7.84686381268222,27
"94",20191006,"264",25.96,2279.496,24.39,7.8549837412999,25.7
"95",20191006,"265",28.07,2327.254,24.78,7.82834550129494,26.1
"96",20191006,"266",20.1,2174.76,22.39,7.83459713553513,24.6
"97",20191006,"267",2.82,1826.746,2.794,7.6484122144772,23.3
"98",20191006,"268",34.14,2280.444,25.17,7.88353640581417,27.4
"99",20191006,"269",34.47,2317.729,25.22,7.89199469221903,27.1
"100",20191112,"270",31.42,2754.794,30.22,7.78353867027835,26.8
"101",20191112,"271",35.94,2336.263,34.71,7.89985567176718,25.7
"102",20191112,"272",34.46,2273.65,34.68,8.01982323975355,26.9
"103",20191112,"273",34.55,2314.827,34.57,7.80943125993809,26.3
"104",20191112,"274",34.81,2284.653,34.85,7.92501847214758,26.9
"105",20191112,"275",34.54,2338.292,34.44,7.92387303508405,26.7
"106",20191112,"276",34.65,2253.11,34.63,7.91688002984982,27.1
"107",20191112,"277",4.39,3157.247,4.387,7.84010861358684,24.5
"108",20191112,"278",33.73,2321.678,32.72,7.90425510968974,26.8
"109",20191115,"248",34.89,2279.972,34.89,7.98180854718986,26.8
"110",20191115,"249",35.6,2258.733,34.75,7.96384152680363,27.3
"111",20191115,"250",35.28,2342.033,34.48,7.91349514123541,26.7
"112",20191115,"279",35.53,2258.424,34.69,7.95153427616575,27.2
"113",20191118,"134",35.24,2280.137,34.81,8.04757327463373,27.2
"114",20191118,"137",35.21,2274.123,34.79,8.04951343822996,27.3
"115",20191118,"140",35.2,2282.695,34.83,8.06309824883762,27.2
"116",20191118,"141",35.12,2284.614,34.83,8.05630351487158,27.2
"117",20191118,"142",35.14,2275.605,34.77,8.05609805806692,27.2
"118",20191118,"143",35.11,2277.028,34.8,8.04782824786592,27.2
"119",20191118,"145",35.26,2275.945,34.81,8.05589787446478,26.9
"120",20191118,"162",34.27,2392.94,34.29,7.87189188579684,27.6
"121",20191118,"155B",35.44,2273.808,34.77,8.02711015716827,27.1
"122",20191118,"161B",35.29,2286.095,34.99,7.9393039329612,26.9
"123",20191118,"169B",35.15,2272.783,34.88,8.00538641382363,27.1
"124",20191119,"201",35.57,2267.24,34.9,7.93170154859918,26.9
"125",20191119,"202",28.44,2241.037,28.83,7.8319505469981,25.6
"126",20191119,"203",36.19,2283.216,34.93,7.9616694799753,26.4
"127",20191119,"204",34.89,2279.544,34.96,8.0266438069335,26.8
"128",20191119,"205",35.02,2279.716,34.41,7.91592141913859,26.3
"129",20191119,"206",35.69,2251.614,34.8,8.02153543931067,27.2
"130",20191119,"207",36.15,2269.56,34.95,7.98737668894665,26.7
"131",20191119,"208",34.87,2263.412,34.86,8.00140923940272,27.1
"132",20191119,"209",35.43,2256.641,34.82,7.98360561632703,26.7
"133",20191119,"210",35.54,2255.711,34.81,7.96558317257547,27.1
"134",20191119,"211",36.05,2263.077,34.79,7.96476938165309,26.6
"135",20191119,"212",36.16,2284.551,34.85,8.00602553904569,26.8
"136",20191119,"213",35.74,2264.119,34.8,7.95675923128085,26.7
"137",20191119,"214",36.14,2270.955,34.93,7.95390596646622,26.9
"138",20191119,"215",30.32,2233.273,29.98,7.87183636073138,26.1
"139",20191119,"123B",35.2,2256.516,34.74,8.02666025645275,27.1
"140",20191119,"132B",30.14,2255.022,34.84,7.95742074992966,27
"141",20191119,"133B",NA,2262.823,34.76,8.00963525764853,27
"142",20191119,"134B",35.24,2267.571,34.78,8.04859691342532,27
"143",20191119,"139B",34.48,2264.469,34.81,8.05529585655027,26.9
"144",20191119,"148B",35.57,2252.169,34.86,7.9796307393653,27
"145",20191119,"149B",35.23,2255.48,34.76,7.99787290416088,26.9
"146",20191119,"152B",35.08,2268.128,34.8,8.05079841737547,27.2
"147",20191119,"157B",NA,2254.902,34.8,7.98939038955942,27.1
"148",20191119,"158B",35.2,2263.334,34.81,7.96911899023714,26.9
"149",20191119,"159B",NA,2267.32,35.07,7.9869031060574,27.5
"150",20191119,"171B",NA,2256.872,34.85,7.97696919047125,26.9
"151",20191119,"172B",35.25,2221.131,34.88,7.83348673722483,26.8
"152",20191119,"173B",NA,2255.235,34.77,7.93917711768343,27
"153",20191120,"101",35.14,2264.802,34.8,8.01503435663941,27.2
"154",20191120,"102",NA,2264.258,34.83,8.03533652600971,27.2
"155",20191120,"103",34.18,2266.32,34.77,8.02985568422252,27.2
"156",20191120,"104",35.31,2262.575,34.81,7.97184320144235,26.8
"157",20191120,"105",35.25,2266.557,34.82,8.03853511638266,27
"158",20191120,"217",35.52,2254.233,34.75,7.99920172646636,26.2
"159",20191120,"218",35.63,2250.548,34.89,8.02027214346455,27.4
"160",20191120,"219",36.09,2266.951,34.8,7.93739056471444,26.7
"161",20191120,"220",34.65,2269.482,34.82,7.98477675045838,26.7
"162",20191120,"221",35.34,2272.287,34.47,7.91189288884214,27
"163",20191120,"222",35.6,2265.737,34.74,7.92950547526091,27
"164",20191120,"223",36.13,2273.587,34.82,7.9190628745394,26.4
"165",20191120,"224",33.66,2316.535,33.67,7.89130139315908,26.3
"166",20191120,"225",34.1,2322.288,34.12,7.81833064481209,26.4
"167",20191120,"226",36.13,2263.973,34.83,7.94157396452903,26.8
"168",20191120,"227",33.85,2291.966,33.72,7.82389331230667,26.2
"169",20191120,"229",35.6,2263.608,34.74,7.90882833528924,26.9
"170",20191120,"230",34.59,2345.309,33.95,7.83368793234738,26.2
"171",20191120,"231",36.13,2243.723,34.9,7.89535096952383,26.6
"172",20191120,"232",34.83,2265.453,34.78,7.99045115693676,27
"173",20191120,"233",35.63,2263.359,34.75,7.95704258751655,26.5
"174",20191120,"104B",35.41,2257.714,34.9,7.97403012844454,25.6
"175",20191120,"112B",35.1,2265.381,34.93,8.01215503871368,27
"176",20191120,"117B",35.14,2260.324,34.88,8.01914680181824,27.2
"177",20191120,"120B",34.51,2253.075,34.76,7.9935297837566,27.3
